"Provinsi/Province","2015","2016","2017","2018","2019"
"Aceh","5 002,00","5 096,20","5 189,50","5 281,30","5 371,5"
"Bali","4 152,80","4 200,10","4 246,50","4 292,20","4 336,9"
"Banten","11 955,20","12 203,10","12 448,20","12 689,70","12 927,3"
"Bengkulu","1 874,90","1 904,80","1 934,30","1 963,30","1 991,8"
"DI Yogyakarta","3 679,20","3 720,90","3 762,20","3 802,90","3 842,9"
"DKI Jakarta","10 177,90","10 277,60","10 374,20","10 467,60","10 557,8"
"Gorontalo","1 133,20","1 150,80","1 168,20","1 185,50","1 202,6"
"Indonesia","255 461,70","258 705,00","261 890,90","265 015,30","268 074,6"
"Jambi","3 402,10","3 458,90","3 515,00","3 570,30","3 624,6"
"Jawa Barat","46 709,60","47 379,40","48 037,60","48 683,70","49 316,7"
"Jawa Tengah","33 774,10","34 019,10","34 257,90","34 490,80","34 718,2"
"Jawa Timur","38 847,60","39 075,30","39 293,00","39 500,90","39 698,9"
"Kalimantan Barat","4 789,60","4 861,70","4 932,50","5 001,70","5 069,1"
"Kalimantan Selatan","3 989,80","4 055,50","4 119,80","4 182,70","4 244,1"
"Kalimantan Tengah","2 495,00","2 550,20","2 605,30","2 660,20","2 714,9"
"Kalimantan Timur","4 068,60","4 167,60","4 266,50","4 365,20","3 721,4"
"Kalimantan Utara","641,9","666,3","691,1","716,4","742,2"
"Kep. Bangka Belitung","1 372,80","1 401,80","1 430,90","1 459,90","1 488,8"
"Kepulauan Riau","1 973,00","2 028,20","2 082,70","2 136,50","2 189,7"
"Lampung","8 117,30","8 205,10","8 289,60","8 370,50","8 447,7"
"Maluku","1 686,50","1 715,50","1 744,70","1 773,80","1 802,9"
"Maluku Utara","1 162,30","1 185,90","1 209,30","1 232,60","1 255,8"
"Nusa Tenggara Barat","4 835,60","4 896,20","4 955,60","5 013,70","5 070,4"
"Nusa Tenggara Timur","5 120,10","5 203,50","5 287,30","5 371,50","5 456,2"
"Papua","3 149,40","3 207,40","3 265,20","3 322,50","3 379,3"
"Papua Barat","871,50","893,40","915,40","937,50","959,6"
"Riau","6 344,40","6 501,00","6 657,90","6 814,90","6 971,7"
"Sulawesi Barat","1 282,20","1 306,50","1 331,00","1 355,60","1 380,3"
"Sulawesi Selatan","8 520,30","8 606,40","8 690,30","8 772,00","8 851,2"
"Sulawesi Tengah","2 876,70","2 921,70","2 966,30","3 010,40","3 054,0"
"Sulawesi Tenggara","2 499,50","2 551,00","2 602,40","2 653,70","2 704,7"
"Sulawesi Utara","2 412,10","2 436,90","2 461,00","2 484,40","2 507,0"
"Sumatera Barat","5 196,30","5 259,50","5 321,50","5 382,10","5 441,2"
"Sumatera Selatan","8 052,30","8 160,90","8 267,00","8 370,30","8 470,7"
"Sumatera Utara","13 937,80","14 102,90","14 262,10","14 415,40","14 562,5"